step,robot_idx,du,dv,psf_size,blurred_mean,deblurred_mean,blurred_std,deblurred_std
265,438,-0.319,1.302,3,182.7,180.4,48.2,47.8
266,439,-1.316,3.300,7,182.7,180.0,48.2,48.5
267,441,-2.758,7.709,15,180.5,177.4,49.1,50.0
268,442,-2.533,7.409,15,178.6,175.5,50.1,51.0
269,444,-1.267,3.681,7,177.0,174.4,51.0,51.0
270,446,-0.471,1.294,3,174.9,172.6,52.2,51.8
271,447,-0.335,0.836,3,175.4,173.1,52.3,52.1
272,449,-0.075,0.266,3,174.8,172.5,52.5,52.0
273,451,-0.040,0.054,3,176.1,173.8,52.4,51.9
274,453,-0.005,0.012,3,175.7,173.4,52.3,51.8
275,454,-0.001,0.003,3,178.3,176.0,51.9,51.4
276,456,0.001,-0.001,3,178.4,176.1,51.9,51.4
277,457,0.001,-0.001,3,178.3,176.0,52.0,51.5
278,459,0.002,-0.003,3,178.2,175.8,51.9,51.5
279,460,0.022,-0.020,3,178.2,175.8,51.9,51.5
280,462,0.004,-0.004,3,176.4,174.1,50.7,50.2
281,463,0.001,-0.001,3,172.7,170.5,49.0,48.5
282,465,0.002,-0.001,3,170.6,168.4,48.6,48.1
283,468,-0.001,0.004,3,170.0,167.7,48.6,48.1
284,469,0.000,0.002,3,169.9,167.7,48.2,47.8
285,470,0.002,0.000,3,169.7,167.5,47.8,47.3
286,472,0.001,-0.000,3,172.1,169.8,46.8,46.3
287,474,0.001,0.000,3,171.9,169.7,46.0,45.5
288,475,0.001,-0.000,3,171.9,169.7,46.0,45.5
289,476,0.001,-0.000,3,172.0,169.7,46.0,45.5
290,479,0.001,-0.000,3,174.3,172.1,45.3,44.8
291,481,0.001,-0.000,3,174.3,172.1,45.3,44.9
292,482,0.001,-0.000,3,174.3,172.1,45.3,44.8
293,485,0.001,-0.000,3,174.4,172.1,45.3,44.8
294,486,0.001,-0.000,3,174.4,172.1,45.3,44.8
295,488,0.003,0.000,3,174.3,172.0,44.7,44.2
296,489,0.003,-0.001,3,173.9,171.7,45.3,44.9
297,490,0.002,-0.000,3,174.1,171.9,45.6,45.2
298,491,0.001,-0.000,3,174.1,171.9,45.6,45.2
299,492,0.002,-0.001,3,174.0,171.8,45.2,44.8
300,494,0.001,0.000,3,174.5,172.2,46.1,45.7
301,495,0.000,-0.000,3,174.5,172.2,46.2,45.7
302,498,-0.000,-0.000,3,174.4,172.2,46.2,45.7
303,500,-0.000,0.000,3,174.3,172.1,46.2,45.7
304,502,-0.000,-0.000,3,174.3,172.1,46.2,45.7
305,503,0.001,-0.002,3,174.3,172.0,46.1,45.7
306,504,0.591,-1.207,3,174.3,172.0,46.1,46.0
307,506,3.010,-7.461,15,175.0,172.3,45.4,46.4
308,508,3.865,-10.071,21,176.2,173.1,44.5,46.1
309,509,4.406,-11.667,23,177.6,174.4,43.6,45.5
310,511,4.606,-12.860,25,181.9,178.5,42.1,44.1
311,512,4.108,-13.057,27,183.7,180.2,41.5,43.7
312,515,4.226,-13.798,27,185.9,182.3,40.1,42.7
313,516,4.085,-13.586,27,186.5,182.9,39.8,42.8
314,518,3.425,-13.611,27,187.5,183.8,39.4,42.5
315,521,3.245,-13.884,27,188.4,184.4,39.9,43.6
316,522,3.194,-14.053,29,188.6,184.5,40.0,44.0
317,524,3.115,-14.059,29,189.8,185.5,40.6,45.2
318,526,2.689,-13.975,27,190.4,186.2,40.9,45.3
319,527,2.394,-14.524,29,192.0,187.5,41.6,46.2
320,528,2.497,-14.097,29,192.6,188.0,42.0,46.8
321,531,2.405,-13.631,27,193.8,189.0,43.3,48.4
322,532,1.985,-13.478,27,194.0,189.4,43.7,48.3
